name,label,mealType,kitchenId
નાસ્તો 01,નાસ્તો 01,BREAKFAST,cmeuabih60000l504f8ne848l
નાસ્તો 02,નાસ્તો 02,BREAKFAST,cmeuabih60000l504f8ne848l
ચટણી,ચટણી,BREAKFAST,cmeuabih60000l504f8ne848l
ફરસાણ 01,ફરસાણ 01,BREAKFAST,cmeuabih60000l504f8ne848l
ફરસાણ 02,ફરસાણ 02,BREAKFAST,cmeuabih60000l504f8ne848l
બેકરી 01,બેકરી 01,BREAKFAST,cmeuabih60000l504f8ne848l
બેકરી 02,બેકરી 02,BREAKFAST,cmeuabih60000l504f8ne848l
"ફ્રુટ (મોસંબી,પપૈયું,કેળા)","ફ્રુટ (મોસંબી,પપૈયું,કેળા)",BREAKFAST,cmeuabih60000l504f8ne848l
ઠાકોરજી દૂધ,ઠાકોરજી દૂધ,BREAKFAST,cmeuabih60000l504f8ne848l
છાશ,છાશ,BREAKFAST,cmeuabih60000l504f8ne848l
મગ પાણી,મગ પાણી,BREAKFAST,cmeuabih60000l504f8ne848l
શરબત 01,શરબત 01,BREAKFAST,cmeuabih60000l504f8ne848l
શરબત 02,શરબત 02,BREAKFAST,cmeuabih60000l504f8ne848l
અન્ય,અન્ય,BREAKFAST,cmeuabih60000l504f8ne848l
મિષ્ટાન્ન 01,મિષ્ટાન્ન 01,LUNCH,cmeuabih60000l504f8ne848l
મિષ્ટાન્ન 02,મિષ્ટાન્ન 02,LUNCH,cmeuabih60000l504f8ne848l
ફરસાણ 01,ફરસાણ 01,LUNCH,cmeuabih60000l504f8ne848l
ફરસાણ 02,ફરસાણ 02,LUNCH,cmeuabih60000l504f8ne848l
ચટણી,ચટણી,LUNCH,cmeuabih60000l504f8ne848l
શાક 01,શાક 01,LUNCH,cmeuabih60000l504f8ne848l
શાક 02,શાક 02,LUNCH,cmeuabih60000l504f8ne848l
શાક 03,શાક 03,LUNCH,cmeuabih60000l504f8ne848l
શાક 04,શાક 04,LUNCH,cmeuabih60000l504f8ne848l
વિશેષ,વિશેષ,LUNCH,cmeuabih60000l504f8ne848l
રોટલી + અન્ય,રોટલી + અન્ય,LUNCH,cmeuabih60000l504f8ne848l
ભાત / ખીચડી,ભાત / ખીચડી,LUNCH,cmeuabih60000l504f8ne848l
દાળ / કઢી,દાળ / કઢી,LUNCH,cmeuabih60000l504f8ne848l
સલાડ,સલાડ,LUNCH,cmeuabih60000l504f8ne848l
દહીં / રાઈતા,દહીં / રાઈતા,LUNCH,cmeuabih60000l504f8ne848l
છાશ,છાશ,LUNCH,cmeuabih60000l504f8ne848l
પાપડ,પાપડ,LUNCH,cmeuabih60000l504f8ne848l
અન્ય,અન્ય,LUNCH,cmeuabih60000l504f8ne848l
વિશેષ 01,વિશેષ 01,DINNER,cmeuabih60000l504f8ne848l
વિશેષ 02,વિશેષ 02,DINNER,cmeuabih60000l504f8ne848l
ચટણી,ચટણી,DINNER,cmeuabih60000l504f8ne848l
શાક 01,શાક 01,DINNER,cmeuabih60000l504f8ne848l
શાક 02,શાક 02,DINNER,cmeuabih60000l504f8ne848l
શાક 03,શાક 03,DINNER,cmeuabih60000l504f8ne848l
પરોઠા / થેપલા + અન્ય,પરોઠા / થેપલા + અન્ય,DINNER,cmeuabih60000l504f8ne848l
ભાત / ખીચડી,ભાત / ખીચડી,DINNER,cmeuabih60000l504f8ne848l
દાળ / કઢી,દાળ / કઢી,DINNER,cmeuabih60000l504f8ne848l
અથાણાં,અથાણાં,DINNER,cmeuabih60000l504f8ne848l
દહીં / રાઈતા,દહીં / રાઈતા,DINNER,cmeuabih60000l504f8ne848l
ઠાકોરજી દૂધ,ઠાકોરજી દૂધ,DINNER,cmeuabih60000l504f8ne848l
છાશ,છાશ,DINNER,cmeuabih60000l504f8ne848l
પાપડી,પાપડી,DINNER,cmeuabih60000l504f8ne848l
અન્ય,અન્ય,DINNER,cmeuabih60000l504f8ne848l
પાઉંભાજી,પાઉંભાજી,SNACK,cmeuadkl80002l504mu8klj2w
ખીચડી,ખીચડી,SNACK,cmeuadkl80002l504mu8klj2w
ખીરું,ખીરું,SNACK,cmeuadkl80002l504mu8klj2w
સંભાર,સંભાર,SNACK,cmeuadkl80002l504mu8klj2w
કોપરા ચટણી,કોપરા ચટણી,SNACK,cmeuadkl80002l504mu8klj2w
દાબેલી,દાબેલી,SNACK,cmeuadkl80002l504mu8klj2w
પફ,પફ,SNACK,cmeuadkl80002l504mu8klj2w
વડાપાઉં,વડાપાઉં,SNACK,cmeuadkl80002l504mu8klj2w
સમોસા,સમોસા,SNACK,cmeuadkl80002l504mu8klj2w
સેન્ડવીચ,સેન્ડવીચ,SNACK,cmeuadkl80002l504mu8klj2w
ભેળ મમરા,ભેળ મમરા,SNACK,cmeuadkl80002l504mu8klj2w
બટાકા પૌંઆ,બટાકા પૌંઆ,BREAKFAST,cmeuae4mq0003l5041ikc3m8x
ભીનો નાસ્તો,ભીનો નાસ્તો,BREAKFAST,cmeuae4mq0003l5041ikc3m8x
ખાખરા,ખાખરા,BREAKFAST,cmeuae4mq0003l5041ikc3m8x
સાદા મમરા,સાદા મમરા,BREAKFAST,cmeuae4mq0003l5041ikc3m8x
બ્રેડ (બટર / જામ / નટેલા),બ્રેડ (બટર / જામ / નટેલા),BREAKFAST,cmeuae4mq0003l5041ikc3m8x
"ફ્રુટ (મોસંબી,પપૈયું,કેળા)","ફ્રુટ (મોસંબી,પપૈયું,કેળા)",BREAKFAST,cmeuae4mq0003l5041ikc3m8x
કોર્ન ફ્લેક્સ,કોર્ન ફ્લેક્સ,BREAKFAST,cmeuae4mq0003l5041ikc3m8x
ચા,ચા,BREAKFAST,cmeuae4mq0003l5041ikc3m8x
દૂધ (કોફી પાઉડર),દૂધ (કોફી પાઉડર),BREAKFAST,cmeuae4mq0003l5041ikc3m8x
