id,category,subcategory
cmeffxbf20001l704erg9uw84,નાસ્તા_ફરસાણ,શેકેલું
cmeffy9x3000fl7040hrid1ej,નાસ્તા_ફરસાણ,શેકેલું
cmeffzl7k000vl704ddl6vbxm,નાસ્તા_ફરસાણ,શેકેલું
cmefg0neg001bl7044hlaig2d,નાસ્તા_ફરસાણ,શેકેલું
cmefg1d87001rl7042ktabjb8,નાસ્તા_ફરસાણ,શેકેલું
cmefg329s002al704ni0znzvp,નાસ્તા_ફરસાણ,ઢોકળા
cmefg4fp4002rl704etdrmbhv,નાસ્તા_ફરસાણ,ઢોકળા
cmefg987h0036l704btvjtmsf,રોટલી,રોટલી
cmefg9ydz003fl704fwxo43ec,રોટલી,ભાખરી
cmefgaki9003pl704dclhhqm8,રોટલી,ભાખરી
cmefgbjk9003wl704mctjvgz8,રોટલી,ભાખરી
cmefgzxjj0001ib04z6r74vg8,રોટલી,પુરી
cmefitb960001jo041uoorm9y,રોટલી,પરોઠા
cmefj0q6h0001l104ec44z8o0,વિશેષ_વાનગી,ઇટાલિયન
cmefj2hw8000ul1040s0jlwxj,રોટલી,પુરી
cmefj4std0014l104nzzt7tlh,વિશેષ_વાનગી,મદ્રાસી
cmefj5jy5001fl104jfxp6yf1,રોટલી,રોટલા
cmefj65hf001ll104f7gd88aa,રોટલી,રોટલા
cmefj68d3001sl104a8ni6bz9,વિશેષ_વાનગી,ચાટ
cmefjbev20027l104seksci85,રોટલી,ભાખરી
cmefjcsm2002hl104bw7zmjlg,વિશેષ_વાનગી,રાજસ્થાની
cmefjddnl002vl1046j4z5nwg,રોટલી,થેપલા
cmefje71d003dl10476v7w93m,રોટલી,પરોઠા
cmefjeuid003ql1040ez73bou,રોટલી,ચિલ્લા
cmefjfnnr004cl1043thl4vxd,રોટલી,ચિલ્લા
cmefjgc0g004yl104jc0t36lo,રોટલી,થેપલા
cmefjk9p20058l104i8ae0t1k,નાસ્તા_ફરસાણ,ખમણ
cmefjkwa8005ol1049knq5a4m,શાક_કઠોળ,બટાકા
cmefjlq9t0067l104zoedbizk,નાસ્તા_ફરસાણ,ખમણ
cmefjms2c006rl1045eyqcv3p,નાસ્તા_ફરસાણ,શેકેલું
cmefjmyyf0076l104vxxuzqk0,શાક_કઠોળ,બટાકા
cmefjnrgi007tl104dyj16eax,નાસ્તા_ફરસાણ,શેકેલું
cmefjojtm008cl104clt9xqim,નાસ્તા_ફરસાણ,ઢોકળા
cmefjozvj008tl104p6hasrfq,વિશેષ_વાનગી,સૂપ
cmefjs5l10099l104hjv5eh7p,શાક_કઠોળ,બટાકા
cmefju7dj009pl104p87yhv7l,શાક_કઠોળ,બટાકા
cmefjx0pv00a4l104cnuiwmgf,શાક_કઠોળ,બટાકા
cmefk0jhh00aol104b0mvmf7d,નાસ્તા_ફરસાણ,ઢોકળા
cmefk53o500b2l104t50e78y4,નાસ્તા_ફરસાણ,ઢોકળા
cmefk5xbx00bkl104jfg9e2m3,નાસ્તા_ફરસાણ,ઇદળા
cmefk6z3d00c3l104u1n5bz9g,નાસ્તા_ફરસાણ,ઇદળા
cmefk87z800cll104j8u3115y,શાક_કઠોળ,બટાકા
cmefkb7j200dcl104xpdwny7e,નાસ્તા_ફરસાણ,મુઠીયા
cmefkc1lt00e5l1044cvr0j90,નાસ્તા_ફરસાણ,મુઠીયા
cmefkcqoy00erl104a0rk4cfo,શાક_કઠોળ,બટાકા
cmefkcyn900f7l104s4p7c87l,નાસ્તા_ફરસાણ,મુઠીયા
cmefkdmhx00fxl104fgrx5nlb,નાસ્તા_ફરસાણ,ચા/ ઉકાળો
cmefke51600g4l1048rieh6xs,નાસ્તા_ફરસાણ,ચા/ ઉકાળો
cmefkeq3100gal1049tfh3ro4,નાસ્તા_ફરસાણ,લિક્વિડ
cmefketkv00gxl104w95402np,શાક_કઠોળ,બટાકા
cmefkfg6k00hhl1049hwjnzll,નાસ્તા_ફરસાણ,ઇદળા
cmefkgsle00hyl104vcnk6buy,નાસ્તા_ફરસાણ,શેકેલું
cmefkhknr00igl104albgfvni,શાક_કઠોળ,બટાકા
cmefki7ih00iyl104fd2gnjd6,મિષ્ટાન્ન,ફેન્સી
cmefkiot600jcl104vt49dup3,મિષ્ટાન્ન,ફેન્સી
cmefkj61500jpl104pnfthq6y,શાક_કઠોળ,બટાકા
cmefkkene00kcl104gl1pjisu,મિષ્ટાન્ન,લાડું
cmefkkx7v00kvl104rb2jzqw1,મિષ્ટાન્ન,લાડું
cmefkl3ra00lfl104tdorm3x8,શાક_કઠોળ,બટાકા
cmefklo1p00lyl104ca1ie015,મિષ્ટાન્ન,ચકતાં
cmefkm7qo00mbl1047d7rq6ag,મિષ્ટાન્ન,ચકતાં
cmefkmqkq00mkl104dpiyu2lx,મિષ્ટાન્ન,ચકતાં
cmefkmu8600mtl104umzbqip1,શાક_કઠોળ,બટાકા
cmefkndny00ncl104q3i8wo88,મિષ્ટાન્ન,ચકતાં
cmefko0oc00nll1046jqisgj2,મિષ્ટાન્ન,ચકતાં
cmefkof3300ntl1041ag2m3wm,શાક_કઠોળ,બટાકા
cmefkokx500oel104dh0u2kjr,મિષ્ટાન્ન,ચકતાં
cmefkp2jt00otl104kebp3z9q,મિષ્ટાન્ન,ચકતાં
cmefkpltg00p1l104p65pla9c,મિષ્ટાન્ન,ચકતાં
cmefkpsdi00phl104em31zei4,અન્ય,સૂકું ફરસાણ
cmefkq5c500pol1043lfyi667,મિષ્ટાન્ન,ચકતાં
cmefksrll00q3l104tvonc5d7,શાક_કઠોળ,બટાકા
cmefkwose00qtl1041loohdfx,મિષ્ટાન્ન,ચકતાં
cmefkx3ad00rcl104hnu5c5nt,અન્ય,સલાડ
cmefkx99x00ril104zgd25e72,મિષ્ટાન્ન,ભીનું
cmefkxrzw00s2l104rshet97y,મિષ્ટાન્ન,ચકતાં
cmefky2cc00sll104qudgps4b,અન્ય,સૂકું ફરસાણ
cmefkyao200t3l104q2cso4w7,મિષ્ટાન્ન,લાડું
